Название гостиницы;Район;Ближайшая станция метро;Адрес;Категория гостиницы;Инвестор;Оператор (бренд);Количество номеров;Дата ввода в эксплуатацию;Максимальная стоимость;Телефон;Услуги;Услуги в номере;Сайт;Электронный адрес;Кадастровый номер;Количество мест;Примечание;Источник данных;Муниципальное образование
"Морской вокзал";"Василеостровский";"Василеостровская, Приморская";"г.Санкт-Петербург, площадь Морской Славы, дом 1, литера А";"3*";"Морской вокзал";"";"130";"1994";"2 100";"3226040";"аренда конференц-залов, визовая поддержка, услуги бизнес-центра, рестораны, автостоянка, заказ такси, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ би";"кондиционер, радио, телефон, мини-бар, телевизор, видео, интернет Wi-Fi, фен, утюг, холодильник, халат, тапочки, банные принадлежности, гладильные принадлежности, круглосуточное обслуживание в номере, размещение домашних животных, кухня, рабочий сто";"http://www.mvhotel.ru";"mailto: complexm@rambler.ru";"2125:5:75";"194";"";"Комитет по инвестициям";"муниципальный округ №9"
"Фрегат";"Кировский";"Нарвская, Балтийская";"г.Санкт-Петербург, Двинская улица, дом 16, корпус 2, литера А";"Эконом класс Мини-гостиница";"";"";"49";"";"";"7407119";"камера хранения багажа ,прачечная ,химчистка";"";"нет";"";"8103:03:33";"0";"";"Комитет по инвестициям";"муниципальный округ №31"
"Александрия-Петергоф";"Петродворцовый";"Автово";"Санкт-Петербург, город Петродворец, Санкт-Петербургское шоссе, дом 134б, литера А";"3*";"Александрия-Петергоф";"";"23";"2006";"3 400";"4505320, 9725484";"визовая поддержка, рестораны, автостоянка, заказ такси, камера хранения багажа, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, аренда конференц залов, автомобилей, прачечная, химчиска, заказ авиа и ж\д билетов";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, фен, холодильник, халат, тапочки, банные принадлежности, ванна, туалет, ванная комната, интернет wi-fi";"http://www.aleksandria-petergof.ru";"mailto: aleksandria-petergof@yandex.ru";"19285:176:116";"50";"";"Комитет по инвестициям";"город Петродворец"
"Санаторий "Петродворец"";"Петродворцовый";"Автово";"Санкт-Петербург, город Петродворец, улица Аврова, дом 2, литера А";"Санаторий";"Санаторий ПЕТРОДВОРЕЦ"";"Санаторий Петродворец";"180";"1972";"1 200";"4505098, 4505021";"заказ такси";"звонок-«будильник»/ Будильник, туалет, ванная комната";"http://www.petrodvoretz.ru/";"mailto: 4505021@mail.ru";"19228:1:7";"212";"";"Комитет по инвестициям";"город Петродворец"
"Никольская 10";"Петродворцовый";"Автово";"198903, Санкт-Петербург, город Петродворец, Никольская улица, дом 10, литера А";"Мини-гостиница";"Никольская 10";"";"5";"2009";"2 000";"9387608";"вызов такси,будильник";"телевизор, интернет Wi-Fi, туалет";"http://www.nikolskaya10.ru";"mailto: info@nikolskaya10.ru";"19245:0:1";"11";"";"Комитет по инвестициям";"город Петродворец"
"Знаменка";"Петродворцовый";"Автово";"Санкт-Петербург, город Петергоф, Санкт-Петербургское шоссе, дом 115, литера А";"Пансионат";"СПб ГУП Пассажиравтотранс фил. "Пансионат "Знаменка"";"";"98";"1972";"2 000";"45076024, 4507602";"аренда конференц-залов, аренда автомобилей, услуги бизнес-центра, рестораны, автостоянка, заказ такси, фитнес-клуб, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, банные принадлежности, душ, туалет, ванная комната";"нет";"mailto: znamenka_1@mail.ru";"19111:32:11";"170";"";"Комитет по инвестициям";"город Петродворец"
"Фрейлинский дом";"Петродворцовый";"Автово";"Санкт-Петербург, город Петродворец, Дворцовая площадь, дом 7, литера А";"3*";"Отель Фрейлинский Дом" (структурное подразделение Государственного музея-заповедника "Петергоф")";"";"50";"2006";"3 400";"3261831, 4505403";"аренда конференц-залов, услуги бизнес-центра, рестораны, автостоянка, заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, банные принадлежности, душ, туалет, ванная комната";"нет";"mailto: peterhofmuseum@mail.ru";"19224:1:68";"89";"";"Комитет по инвестициям";"город Петродворец"
"Новый Петергоф";"Петродворцовый";"Автово";"Санкт-Петербург, город Петергоф, Санкт-Петербургский проспект, дом 34, литера А";"3*";"Московская Инвестиционно-строительная компания";"IHM";"150";"2010";"3 400";"";"СПА-центр, два ресторана, аренда конференц-залов, организация мероприятий, джакузи, сауна, фитнес-центр,";"кондиционер, интернет WiFi";"http://www.new-peterhof.ru";"mailto: info@new-peterhof-hotel.com";"19247Б:1:5";"";"";"Комитет по инвестициям";"город Петродворец"
"Русская деревня "Шуваловка"";"Петродворцовый";"Автово";"Санкт-Петербург, город Петродворец, Санкт-Петербургское шоссе, дом 111, литера К";"Мини-гостиница";"Шуваловка-Отель";"Кошель";"10";"2004";"4 000";"4505393";"аренда конференц-залов, автостоянка, заказ такси, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, телевизор, круглосуточное обслуживание в номере, туалет, ванная комната";"http://www.shuvalovka.ru";"mailto: sales@shuvalovka.ru";"19114:2:8";"20";"";"Комитет по инвестициям";"город Петродворец"
"Свет Маяка";"Петродворцовый";"Автово";"Санкт-Петербург, поселок Стрельна, улица Дружбы, дом 4А";"3*";"Свет Маяка";"Управляющая Компания Свет маяка";"25";"2007";"3 600";"7497951";"рестораны, автостоянка, заказ такси, фитнес-клуб, салон красоты, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, радио, телефон, голосовая почта, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол,";"http://www.smhotel.ru";"нет";"19116А:27:4";"55";"";"Комитет по инвестициям";"поселок Стрельна"
"Гранд Петергоф СПА Отель";"Петродворцовый";"Автово";"Санкт-Петербург, город Петергоф, Волхонское шоссе, дом 84, литера А";"3*";"УК "ПБЛ Холдинг"";"";"37";"2009";"7 000";"3348690";"аренда конференц-залов, услуги бизнес-центра, рестораны, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, лобби-бар, бассей";"сейф, телефон, телевизор, интернет Wi-Fi, фен, банные принадлежности, гладильные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, кухня, рабочий стол, душ, ванна, туалет, ванная комната";"http://www.grandpeterhof.ru/";"mailto: reservation@grandpeterhof.ru ";"19153:39:80";"74";"УТОЧНИТЬ МЕСТОПОЛОЖЕНИЕ";"Комитет по инвестициям";"город Петродворец"
"Аолла";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, 10-я Советская улица, дом 11";"Эконом класс";"Аолла";"";"12";"2003";"2 500";"2742562, 2713105";"автостоянка";"телевизор, фен, размещение домашних животных, душ, ванная комната";"нет";"mailto: aolla@yandex.ru";"1429:00:10";"22";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Арт-Отель";"Центральный";"Чернышевская";"191028, г.Санкт-Петербург, Моховая улица, дом 27-29, литера А";"Мини-гостиница";"Арт-Отель Моховая";"";"14";"2004";"";"7407585";"визовая поддержка, автостоянка, камера хранения багажа, прачечная, химчистка, организация туров и экскурсий";"сейф, телефон, спутниковое ТВ, кабельное ТВ, интернет Wi-Fi, фен";"http://www.rus.art-hotel.ru/";"mailto: info@art-hotel.ru";"1189:11:30";"30";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Отель Вера";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, 8-я Советская улица, дом 16/25, литера А";"3*";"Отель Вера";"";"69";"2005";"4 990";"2712172, 2712893";"аренда конференц-залов, аренда автомобилей, визовая поддержка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телефон, спутниковое ТВ, фен, холодильник, гладильные принадлежности, душ";"http://www.hotelvera.ru/";"mailto: desk@hotelvera.ru";"1427:01:18";"150";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Атлантика";"Центральный";"Невский проспект/Гостиный двор";"191186, г.Санкт-Петербург, Казанская улица, дом 14, литера А";"Эконом класс";"Атлантика";"";"30";"2007";"3 400";"3144030, 3152595";"аренда конференц-залов, аренда автомобилей, визовая поддержка, автостоянка, заказ такси, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на";"сейф, кондиционер, телефон, мини-бар, кабельное ТВ, интернет Wi-Fi, фен, утюг, холодильник, халат, тапочки, банные принадлежности, размещение домашних животных, туалет, ванная комната";"http://www.hotel-atlantic.ru/";"mailto: info@hotel-atlantic.spb.ru";"1231:00:26";"60";"";"Комитет по инвестициям";"муниципальный округ №78"
"Петро-Отель";"Центральный";"Чернышевская";"193015, г.Санкт-Петербург, Кирочная улица, дом 49, литера А";"Мини-гостиница";"Петро-отель";"Сеть мини-отелей "Виктория"";"3";"2004";"";"2752193";"трансфер";"телефон, телевизор, фен, утюг, гладильные принадлежности, душ, туалет";"http://www.petrotel.su";"mailto: centerhotel@inbox.ru";"1121:06:18";"6";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Владимирский";"Центральный";"Владимирская/Достоевская";"191025, г.Санкт-Петербург, Владимирский проспект, дом 3, литера А";"Мини-гостиница";"Владимирский";"";"7";"1998";"";"7131365";"аренда автомобилей, визовая поддержка, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, мини-бар, кабельное ТВ";"http://www.vladhotel.ru/";"mailto: mail@vladhotel.ru";"1224:01:02";"15";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Владимирский 2";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, 1-я Советская улица, дом 10, литера Г";"Мини-гостиница";"Владимирский II";"";"8";"2004";"";"7168132";"аренда автомобилей, визовая поддержка, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"телефон, мини-бар, кабельное ТВ";"http://www.vladhotel2.ru/";"mailto: mail@vladhotel.ru";"1494:00:41";"17";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Вояж Ксения";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, улица Жуковского, дом 36, корпус 2, литера Б";"Апартамент-отель";"Вояж Ксения";"";"1";"2006";"";"9150050";"автостоянка";"телевизор, кухня, электрический чайник";"http://www.voyage-ksenia.com/";"mailto: info@voyage-ksenia.com";"1042:01:01";"6";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Гостевой Домик";"Центральный";"Площадь Восстания/Маяковская";"193130, г.Санкт-Петербург, 5-я Советская улица, дом 3/13, литера А";"Эконом класс";"Гостевой домик";"";"7";"2002";"3 500";"2713089";"визовая поддержка, автостоянка, заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"банные принадлежности, круглосуточное обслуживание в номере, рабочий стол, душ, ванная комната, халат, тапочки";"http://www.ghspb.ru/";"mailto: info@ghspb.ru";"1466:00:17";"14";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Гостиница на Конюшенной";"Центральный";"Невский проспект/Гостиный двор";"191186, г.Санкт-Петербург, Большая Конюшенная улица, дом 1, литера А";"Мини-гостиница";"LUXA";"Сеть отелей Luxa";"5";"2006";"";"3158169,  7777888";"визовая поддержка, автостоянка, заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телевизор, интернет Wi-Fi, холодильник, халат, тапочки, банные принадлежности, круглосуточное обслуживание в номере, рабочий стол, душ, ванная комната";"http://www.luxa.ru/";"mailto: spbflat@bk.ru";"1184:00:01";"8";"";"Комитет по инвестициям";"муниципальное образование Дворцовый округ"
"Грант";"Центральный";"Площадь Восстания/Маяковская";"19036, г.Санкт-Петербург, Лиговский проспект, дом 23, литера А";"Мини-гостиница";"Грант";"";"5";"2007";"";"3243224";"парковка, сейф, офисные услуги, Wi-Fi, вызов такси, завтрак, заказ экскурсий, заказ авиа/жд билетов";"интернет, телевизор, фен";"нет";"нет";"1043:00:26";"10";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Гринвич";"Центральный";"Площадь Восстания/Маяковская";"191014, г.Санкт-Петербург, Ковенский переулок, дом 14, литера А";"Мини-гостиница";"ИП Морева Ольга Анатольевна";"Петербургские отели";"8";"2008";"";"2730817";"визовая поддержка, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телефон, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, круглосуточное обслуживание в номере, душ";"http://www.vashpiter.ru/,  http://www.greenwich-hotel.ru/";"mailto: mail@greenwich-hotel.ru";"1217:05:42";"20";"";"Комитет по инвестициям";"муниципальное образование Литейный округ"
"Лира";"Фрунзенский";"Обводный канал";"192007, г.Санкт-Петербург, Днепропетровская улица, дом 57, литера А";"Эконом класс";"Лира";"";"43";"2006";"3 400";"3359100";"рестораны, автостоянка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, сауна, бильярд";"кондиционер, телефон, телевизор, кабельное ТВ, тапочки, круглосуточное обслуживание в номере, ванная комната";"http://www.lyra-hotel.ru/";"mailto: lyra@lyra-hotel.ru";"7309:3003:57";"86";"";"Комитет по инвестициям";"муниципальный округ Волковское"
"Doma.ru";"Центральный";"Площадь Восстания/Маяковская";"191040, г.Санкт-Петербург, улица Марата, дом 22-24, литера А";"Мини-гостиница";"Doma.ru";"";"4";"2007";"";"5757561";"заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов";"телефон, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, душ";"http://www.hotel-doma.ru";"mailto:doma.spb@mail.ru";"1131:2:100";"8";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Алекс-Отель";"Центральный";"Владимирская/Достоевская";"191040, г.Санкт-Петербург, улица Марата, дом 22-24, литера А";"Мини-гостиница";"Алекс Отель";"сеть мини-отелей "Алекс Отель»";"8";"2007";"";"4687777";"заказ такси, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"сейф, кондиционер, телефон, телевизор, видео, интернет Wi-Fi, банные принадлежности, круглосуточное обслуживание в номере, душ, туалет";"http://www.motelspb.com/,  http://www.alexhotels.ru";"mailto: aleks-hotel@mail.ru";"1131:2:100";"16";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Кристоф отель";"Центральный";"Пушкинская/Звенигородская";"191002, г.Санкт-Петербург, Загородный проспект, дом 9, литера А";"3*";"Кристоф Отель";"";"21";"2003";"3 400";"5713692";"визовая поддержка, услуги бизнес-центра, автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, бронирование и заказ билетов в театры, на концерты";"сейф, кондиционер, телефон, телевизор, фен, утюг, холодильник, кофеварка/ электрический чайник, гладильные принадлежности, звонок-«будильник»/ Будильник, кухня, душ, туалет";"http://www.kristoff.ru";"mailto: reservation@kristoff.ru";"1054:01:04";"42";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Скай хостел (Sky hostel)";"Центральный";"Владимирская/Достоевская";"191002, г.Санкт-Петербург, Владимирский проспект, дом 15, литера А";"Хостел";"Скай хостел";"";"5";"2010";"";"8-921-302-77-77, 8-952-211-03-41";"копировальные услуги, вызов такси, заказ театральных билетов, авиа и ж/д билетов, организация экскурсий";"кровати, Wi-Fi интернет";"http://www.skyhostel.ru";"mailto: info@skyhostel.ru";"1136:01:02";"32";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Park Inn Nevskiy";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Невский проспект, дом 91, литера Б";"4*";"Феникс отель";"Rezidor Hotel Group (Park Inn)";"270";"2010";"9 200";"3310460";"бар-ресторан, фитнес-центр, аренда конференц-залов, автостоянка";"телевизор, интернет, климат-контроль, спутниковое телевидение, сейф, фен, ванные принадлежности";"http://www.parkinn.ru";"mailto: Reservations.LEDPN@rezidorparkinn.com";"1497:16:30";"540";"";"Комитет по инвестициям";"муниципальное образование Лиговка-Ямская"
"Невский берег";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Невский проспект, дом 93, литера А";"3*";"Невский берег";"";"28";"2007";"3 800";"7174160, 4413943";"визовая поддержка, заказ такси, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телевизор, кабельное ТВ, интернет Wi-Fi, фен, утюг, душ";"http://www.nevskybereg.ru/";"mailto: nevskybereg@inbox.ru";"1497:08:34";"52";"";"Комитет по инвестициям";"муниципальное образование Лиговка-Ямская"
"Камея";"Адмиралтейский";"Пушкинская/Звенигородская";"191180, г.Санкт-Петербург, набережная реки Фонтанки, дом 90, корпус 6";"Мини-гостиница Эконом класс";"ПСП";"";"46";"2005";"6 000";"3144237, 312 0858";"заказ такси, камера хранения багажа, прачечная хим";"";"www.cameohotel.ru";"mailto: info@cameohotel.ru";"1622:1:61";"90";"";"Комитет по инвестициям";"муниципальный округ Семеновский"
"Отель на Гороховой";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190031, г.Санкт-Петербург, Гороховая улица, дом 39, литера А";"Мини-гостиница";"ОНИКС";"ОНИКС";"7";"2008";"";"3101198, 4046247";"заказ такси, организация туров и экскурсий";"телефон, телевизор, интернет Wi-Fi, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, душ, туалет";"нет";"mailto: hostel-88@mail.ru";"1145:15:39";"14";"";"Комитет по инвестициям";"муниципальное образование Сенной округ"
"Норд Хостел Казанский";"Центральный";"Невский проспект/Гостиный двор";"г.Санкт-Петербург, Мучной переулок, дом 5";"Хостел";"Норд Хостел";"Норд Хостел";"5";"2010";"";"5710342: 89119854595, 3127302";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка, организация туров и экскурсий";"сейф, кондиционер, интернет Wi-Fi, круглосуточное обслуживание в номере, рабочий стол, душ, туалет";"http://www.nordhostel.com";"mailto: info@nordhostel.com";"1144:00:13";"22";"";"Комитет по инвестициям";"муниципальный округ №78"
"ОАО "Учебный комбинат"";"Невский";"Елизаровская";"193029, г.Санкт-Петербург, переулок Ногина, дом 5, литера В";"Эконом класс";"Учебный комбинат";"";"35";"1980";"";"3651467, 3650657";"автостоянка, заказ такси, камера хранения багажа, прачечная, химчистка";"сейф, телефон, телевизор, фен, утюг, холодильник, кофеварка/ электрический чайник, гладильные принадлежности, звонок-«будильник»/ Будильник, кухня, рабочий стол, душ, туалет";"нет";"нет";"7117:20:43";"70";"";"Комитет по инвестициям";"муниципальный округ №49"
"А-Тур Петербург";"Центральный";"Площадь Александра Невского";"г.Санкт-Петербург, улица Александра Невского, дом 4, литера А";"Эконом класс Мини-гостиница";"";"";"4";"";"";"9736696";"Заказ такси, прачечная, химчистк, бронирование";"";"нет";"";"1500:2005:8";"0";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Москва";"Центральный";"Площадь Александра Невского";"г.Санкт-Петербург, площадь Александра Невского, дом 2, литера Е";"4*";"Москва";"";"825";"2007";"5 700";"3332444";"аренда конференц-залов, аренда автомобилей, услуги бизнес-центра, заказ такси, салон красоты, камера хранения багажа, ресторан, прачечная,химчистка, заказ авиа и ж/д билетов";"сейф, кондиционер, радио, телефон, мини-бар, телевизор, спутниковое ТВ, кабельное ТВ, интернет Wi-Fi, фен, утюг, банные принадлежности, гладильные принадлежности, круглосуточное обслуживание в номере, размещение домашних животных, рабочий стол, душ, ванна";"http://www.hotel-moscow.ru";"mailto: reservation@hotel-moscow.ru";"1501:27:38";"0";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"B&B Сенная";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"г.Санкт-Петербург, Сенная площадь, дом 13, литера А";"Мини-гостиница";"B&B Сенная";"Randhouse";"7";"2001";"3 400";"3107005";"визовая поддержка, рестораны, заказ такси, сувенирные магазины, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий";"сейф, кондиционер, телефон, мини-бар, телевизор, спутниковое ТВ, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, туалет, ванная комната";"http://www.randhouse.ru";"mailto: randhouse@mail.ru";"1147:02:01";"14";"";"Комитет по инвестициям";"муниципальное образование Сенной округ"
"SPb Hostel";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"190031, г.Санкт-Петербург, Московский проспект, дом 4, литера А";"Хостел";"Crazy Duck hostel";"";"7";"2008";"";"3101304";"камера хранения багажа, Интернет, холодильник, тв, телефон, фен, утюг, стиральная машина, посудомоечная машина, визовая поддержка, регистрация иностранцев, заказ такси";"wi-fi, сейфовые ячейки";"http://www.hostel-petersburg.ru/";"mailto: booking@spb-hostel.ru";"1059:01:07";"35";"";"Комитет по инвестициям";"муниципальное образование Сенной округ"
"Агат";"Центральный";"Площадь Восстания/Маяковская";"г.Санкт-Петербург, Пушкинская улица, дом 18, литера А";"Мини-гостиница Эконом класс";"";"";"44";"";"";"9910292";"";"";"нет";"";"1046:2003:3";"0";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Автограф";"Центральный";"Сенная площадь/Садовая/Спасская";"191119, г.Санкт-Петербург, Лиговский проспект, дом 44, литера Б";"Мини-гостиница";"Автограф";"";"7";"2008";"";"6002195, 9134315";"визовая поддержка, заказ такси, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"радио, телефон, телевизор, интернет Wi-Fi, душ, ванная комната";"http://www.avtografhotel.ru";"mailto: reservation@avtograf-hotel.ru ";"1521:2011:130";"14";"";"Комитет по инвестициям";"муниципальное образование Лиговка-Ямская"
"Акварели";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Невский проспект, дом 136, литера А";"Мини-гостиница";"Акварели";"";"9";"2008";"";"7179203, 7171087";"визовая поддержка, заказ такси, заказ авиа и ж/д билетов";"кондиционер, телефон, спутниковое ТВ, кабельное ТВ, интернет Wi-Fi, душ";"http://www.akvarelihotel.ru/";"mailto: info2@akvarelihotel.ru";"1493:06:28";"18";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Акме";"Центральный";"Владимирская/Достоевская";"г.Санкт-Петербург, улица Рубинштейна, дом 23, литера А";"Мини-гостиница";"Акме";"Акме";"5";"2007";"";"5758233, 6002080";"аренда автомобилей, визовая поддержка, организация туров и экскурсий";"сейф, телефон, спутниковое ТВ, видео, интернет Wi-Fi, фен, холодильник, банные принадлежности, гладильные принадлежности, душ, ванна, туалет, ванная комната";"http://www.acme-hotel.com/";"mailto: rb@acme-hotel.com";"1055:9:71";"13";"";"Комитет по инвестициям";"муниципальное образование Владимирский округ"
"Акцент";"Московский";"Фрунзенская";"г.Санкт-Петербург, Киевская улица, дом 24/22, литера А";"3*";"Акцент";"Акцент";"26";"2008";"2 400";"7467114, 7467180";"аренда автомобилей, визовая поддержка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, кафе, прачечная";"телефон, телевизор, интернет Wi-Fi, фен, утюг, холодильник, кофеварка/ электрический чайник, гладильные принадлежности, звонок-«будильник»/ Будильник, рабочий стол, душ, туалет, ванная комната";"http://www.accent-hotel.ru/";"mailto: info@accent-hotel.ru";"7521:0:282";"57";"";"Комитет по инвестициям";"муниципальное образование Московская застава"
"Александер Платц";"Фрунзенский";"Обводный канал";"192007, г.Санкт-Петербург, Воронежская улица, дом 53, корпус 1, литера А";"3*";"Группа Отелей Евразия";"Евразия";"35";"2006";"3 400";"4904810, 4904811";"визовая поддержка, рестораны, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты, сауна с бассейном";"сейф, кондиционер, телефон, телевизор, кабельное ТВ, интернет Wi-Fi, ванная комната";"http://www.eurasia-hotel.ru/";"mailto: alp@eurasia-hotel.ru";"7313:04:25";"70";"";"Комитет по инвестициям";"муниципальный округ Волковское"
"Александрия";"Адмиралтейский";"Сенная площадь/Садовая/Спасская";"г.Санкт-Петербург, Спасский переулок, дом 6-8, литера А";"Мини-гостиница";"Soko Hotels";"Soko Hotels";"11";"2008";"3 400";"3108531, 3108534";"аренда конференц-залов, заказ такси, камера хранения багажа, прачечная, химчистка, заказ авиа и ж/д билетов, организация туров и экскурсий";"телефон, телевизор, интернет Wi-Fi, фен, халат, тапочки, банные принадлежности, звонок-«будильник»/ Будильник, круглосуточное обслуживание в номере, рабочий стол, туалет, ванная комната";"http://www.alexhotel.ru/";"mailto: booking@alexhotel.ru";"1145:04:43";"22";"";"Комитет по инвестициям";"муниципальное образование Сенной округ"
"Анабель Тур";"Центральный";"Площадь Александра Невского";"193024, г.Санкт-Петербург, Невский проспект, дом 147, литера А";"Мини-гостиница";"Анабель-Тур";"Анабель";"15";"2003";"";"7177752, 7170800";"аренда автомобилей, визовая поддержка, автостоянка, заказ авиа и ж/д билетов, организация туров и экскурсий, бронирование и заказ билетов в театры, на концерты";"кондиционер, телефон, мини-бар, спутниковое ТВ, интернет Wi-Fi, душ, ванная комната";"http://www.anabel.ru/";"mailto: hotel@anabel.ru";"1499:06:02";"36";"";"Комитет по инвестициям";"муниципальное образование Лиговка-Ямская"
"Апарт-отель "Невский 150"";"Центральный";"Площадь Восстания/Маяковская, Площадь Александра Невского";"г.Санкт-Петербург, Невский проспект, дом 150, литера Е";"Мини-гостиница 3*";"";"";"4";"2007";"";"7171219, 7178934";"заказ авиа и ж/д билетов, бронирование и заказ бил";"";"http://www.nevsky150.ru/";"";"1488:01:14";"0";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
"Атлас";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Невский проспект, дом 95, литера А";"Мини-гостиница";"LUXA";"Сеть отелей Luxa";"10";"2005";"";"7777888";"аренда автомобилей, визовая поддержка, автостоянка, заказ такси, камера хранения багажа, бронирование и заказ билетов в театры, на концерты";"телевизор, круглосуточное обслуживание в номере";"http://www.luxa.ru/";"mailto: spbflat@bk.ru";"1497:03:01";"22";"";"Комитет по инвестициям";"муниципальное образование Лиговка-Ямская"
"Атмосфера";"Центральный";"Площадь Восстания/Маяковская";"193036, г.Санкт-Петербург, Невский проспект, дом 132, литера Б";"Мини-гостиница";"Сеть отелей "Атмосфера"";"Сеть отелей "Атмосфера"";"5";"2007";"";"9747523";"аренда автомобилей, визовая поддержка, заказ такси, камера хранения багажа, заказ авиа и ж/д билетов, бронирование и заказ билетов в театры, на концерты";"халат, тапочки, банные принадлежности, круглосуточное обслуживание в номере, рабочий стол, душ, ванная комната";"http://www.a-hotel.spb.ru/";"mailto: a-hotel@mail.ru";"1493:14:02";"15";"";"Комитет по инвестициям";"муниципальное образование Смольнинское"
